# Enemigos y donde estan sus recompensas dentro de DMW3Game/PRO/STFGTREP.PRO.
# Sale de la herramienta de JulioGawl, que trabajaba sobre el .bin del disco;
# aqui las posiciones estan traducidas a fichero suelto (2048 utiles por sector).
nombre	posicion	dvexp	exp	bits
Dolphmon	16564	20	98	200
Gesomon	16576	27	136	240
Octomon	16588	40	200	400
Divermon	16600	24	118	200
ShogunGekomon	16612	20	101	490
Seadramon	16624	12	58	120
Mammothmon	16636	23	116	220
Etemon	16648	20	100	205
Ogremon	16660	20	102	200
Tuskmon	16672	22	112	200
Rockmon	16684	44	220	400
Quetzalmon	16696	45	223	440
Vademon	16708	22	109	220
Maildramon	16720	22	110	225
Mamemon	16732	25	125	250
Guardromon (Blue)	16744	29	147	290
Thundermon	16756	23	115	235
Hagurumon	16768	23	117	230
Clockmon	16780	24	123	250
Andromon	16792	24	120	200
Numemon	16804	25	124	300
Sukamon	16816	26	129	190
Garbagemon	16828	47	235	470
Roachmon	16840	47	234	100
Raremon	16852	27	135	270
Cyclonemon	16864	27	134	270
Megadramon	16876	46	233	450
Monzaemon	16888	29	145	320
Tankmon	16900	30	152	300
Nanimon	16912	29	146	280
Musyamon	16924	31	155	330
Kurisarimon	16936	36	225	770
Snimon	16948	43	215	420
Blossomon	16960	34	168	340
Cherrymon	16972	38	189	380
Gargoylemon	16984	35	176	350
Mummymon	16996	35	175	400
Arukenimon	17008	45	225	450
Okuwamon	17020	34	172	320
MetalTyrannomon	17032	36	183	400
Deltamon	17044	36	179	360
Whamon	17056	45	225	420
MarineDevimon	17068	37	185	370
Dragomon	17080	44	221	440
MegaSeadramon	17092	35	174	350
Ebidramon	17104	34	170	340
Vilemon	17116	36	180	360
SkullSatamon	17128	39	196	390
Brachiomon	17140	36	180	360
Drimogemon	17152	41	205	450
Flarerizamon	17164	41	204	400
Meramon	17176	41	205	410
Mojyamon	17188	41	205	420
Frigimon	17200	41	206	420
Icemon	17212	43	215	420
Giromon	17224	46	230	460
Vikemon	17236	43	218	430
Lynxmon	17248	49	244	490
SkullMeramon	17260	43	217	430
Devidramon	17272	43	214	390
Chimeramon	17284	44	223	420
Pukumon	17296	44	221	470
MetalSeadramon	17308	44	223	460
Tylomon	17320	43	215	430
Scorpiomon	17332	43	216	480
Antylamon	17344	44	220	450
H-Kabuterimon	17356	44	222	610
Puppetmon	17368	54	273	520
SkullMammothmon	17380	49	247	490
Valkyriemon	17392	45	225	460
LadyDevimon	17404	45	224	440
MetalEtemon	17416	44	222	460
KingEtemon	17428	45	226	500
Gryphonmon	17440	45	227	440
Infermon	17452	55	276	530
Shadramon	17464	47	235	440
Boltmon	17476	48	243	500
Piedmon	17488	56	280	560
Machinedramon	17500	47	235	500
VenomMyotismon	17512	55	277	530
Apokarimon	17524	56	282	550
Ghoulmon	17536	49	246	490
Creepymon	17548	55	277	540
Armageddemon	17560	56	279	600
Red Vegiemon	17572	9	45	90
Kuwagamon (Green)	17584	30	150	290
Yanmamon (Green)	17596	8	40	80
Dokugumon (Brown)	17608	21	105	210
Goburimon (Red)	17620	22	112	220
Minotarumon (Blue)	17632	33	167	350
Flymon (Pink)	17644	33	165	330
Woodmon (Green)	17656	19	76	190
Triceramon (Red)	17668	41	205	400
Airdramon (Gold)	17680	21	104	215
Phantomon (Blue)	17692	37	186	370
Kokatorimon (Brown)	17704	22	158	300
Tortomon (Blue)	17716	36	180	360
ShogunGekomon (Blue)	17728	37	184	370
Seadramon (Brown)	17740	35	175	350
Mammothmon (Silver)	17752	47	236	460
Fugamon	17764	42	210	430
Vademon (Red)	17776	46	232	460
Maildramon (Black)	17788	48	242	480
Guardromon (White)	17800	46	231	460
Numemon (Blue)	17812	31	222	660
Numemon (Brown)	17824	39	299	770
Numemon (Aqua)	17836	43	344	880
Numemon (Red)	17848	43	366	990
Numemon (White)	17860	44	399	1110
Raremon (Pink)	17872	40	201	400
Cyclonemon (Pink)?	17884	43	215	430
Tankmon (Blue)	17896	45	227	470
Musyamon (Green)	17908	32	160	330
Kurisarimon (Pink)	17920	40	250	800
Snimon (Brown)	17932	48	241	480
Blossomon (Pink)	17944	36	179	360
Cherrymon (Red)	17956	41	203	410
Whamon (Blue)	17968	47	235	420
MegaSeadramon (Gold)	17980	44	221	450
Ebidramon (Pink)	17992	48	240	480
Vilemon (Purple)	18004	48	239	480
Drimogemon (Brown)	18016	44	220	500
BlueMeramon	18028	48	243	480
Vikemon (Blue)	18040	47	236	460
MetalSeadramon (Black)	18052	54	271	550
Scorpiomon (Black)	18064	54	272	510
Antylamon (White)	18076	49	245	490
Soldier	18088	29	291	600
Soldier	18100	29	299	590
Soldier	18112	29	451	890
Maildramon	18124	32	160	325
Soldier	18136	29	289	580
Tamer	18148	44	672	1370
Tamer	18160	55	558	1080
Tamer	18172	49	493	990
Tamer	18184	50	503	1000
Tamer	18196	51	770	1500
Tamer	18220	50	508	990
Tamer Genji	18232	1	4	50
Tamer	18244	4	65	145
Tamer	18256	41	661	1250
Tamer	18268	7	125	220
Tamer	18280	7	79	155
Tamer	18292	6	103	200
Tamer Akiba	18304	9	45	180
Tamer	18316	43	737	1475
Tamer	18328	6	100	225
Tamer	18340	7	109	210
Tamer	18352	10	101	190
Tamer	18364	10	105	210
Tamer	18376	10	100	200
Tamer	18388	40	700	1305
Tamer	18400	17	269	530
Tamer	18412	9	158	290
Tapirmon	18424	41	205	820
Tamer	18436	38	569	1195
Tamer	18448	38	565	1175
Tamer	18460	38	595	1110
Tamer	18472	40	607	1255
Tamer	18484	40	682	1335
Tamer	18496	41	642	1265
Tamer	18508	42	210	840
Tamer	18520	58	904	1730
Tamer	18532	42	641	1220
Tamer	18544	42	638	1145
Tamer	18556	34	342	725
Tamer	18568	35	524	990
Tamer	18580	35	533	1110
Tamer	18592	35	357	715
Tamer	18604	35	523	1050
Tamer	18616	36	361	680
Tamer	18628	35	544	1110
Tamer	18640	44	665	1330
Tamer	18652	44	664	1510
Tamer	18664	44	656	1375
Tamer	18676	45	454	545
Tamer	18688	44	671	1320
Tamer	18700	44	669	1380
Tamer	18712	45	680	1485
Tamer	18724	45	456	910
Tamer	18736	45	458	900
Tamer	18748	52	791	1625
Tamer	18760	52	800	1565
Tamer	18772	52	525	1570
Tamer	18784	52	814	1600
Tamer	18796	52	786	1570
Tamer	18808	52	791	1740
Tamer	18820	53	813	1680
Tamer	18832	57	977	1920
Tamer	18844	53	529	1120
Tamer	18856	53	535	1600
Kunemon	18868	1	6	10
Kunemon	18880	1	6	10
Kunemon	18892	1	6	10
Kunemon	18904	1	6	10
Kunemon	18916	1	6	10
Kunemon	18928	1	6	10
Kunemon	18940	1	6	10
Kunemon	18952	1	6	10
Kunemon	18964	1	6	10
Tamer	18976	94	2365	5475
Tamer	18988	10	161	300
MetalGreymon	19000	17	160	340
Wargrowlmon	19012	26	250	520
MagnaAngemon	19024	28	280	560
Taomon	19036	29	300	580
Kyukimon	19048	28	280	560
GrapLeomon	19060	28	280	560
Armormon	19072	28	280	560
Paildramon	19084	19	200	380
Tamer	19096	6	63	115
Tylomon (2nd)	19108	43	215	430
Scorpiomon  (2nd)	19120	43	216	480
MetalSeadramon (2nd)	19132	44	223	460
Pukumon (2nd)	19144	44	221	470
Whamon	19156	45	225	420
Tamer	19168	23	240	480
Tamer	19180	36	538	1080
Tamer	19192	33	336	640
Tamer	19204	26	394	820
Tamer	19216	34	520	1040
Tamer	19228	13	204	420
Tamer	19240	31	468	980
Tamer	19252	34	339	310
Tamer	19264	31	475	940
Tamer	19276	29	445	925
Tamer	19288	36	544	1220
Tamer	19300	40	406	810
Tamer	19312	44	448	880
Tamer	19324	37	566	1165
Tamer	19336	19	297	580
Tamer	19348	23	230	470
Tamer	19360	5	77	155
Tamer	19372	41	621	1240
Tamer	19384	42	635	1410
Tamer 	19396	30	466	980
Tamer	19408	37	601	1190
Tamer	19420	40	399	840
Tamer	19432	23	230	470
Tamer	19444	60	565	1200
Paildramon	19468	65	684	1300
Taomon	19480	60	621	1200
Tamer	19492	75	1855	3660
Tamer	19504	75	1857	3875
Tamer	19516	75	1541	2695
Tamer	19528	75	1503	3180
MagnaAngemon	19540	60	600	1200
Kyukimon	19552	70	700	1400
Armormon	19564	70	700	1400
GrapLeomon	19576	70	320	740
Datamon	19588	34	340	1000
Zanbamon	19600	40	380	800
Bulbmon	19612	44	450	815
BK MegaGargomon	19624	65	650	1300
BK Imperialdramon	19636	65	650	1310
BK Seraphimon	19648	70	700	1430
BK WarGrowlmon	19660	70	700	1400
BK King Numemon	19672	75	750	1710
BK WarGreymon	19684	75	750	1500
Vemmon	19696	28	144	0
Bulbmon	19708	15	153	275
Galacticmon (TBH Battle)	19720	68	4	0
Galacticmon (Body)	19732	70	4	0
Galacticmon (Head)	19744	70	4	0
Cardmon (T1)	19756	7	35	70
Cardmon (A1)	19768	12	60	120
Cardmon (T2)	19780	17	85	170
Cardmon (A2)	19792	27	135	270
Cardmon (T3)	19804	37	185	370
Cardmon (A3)	19816	42	210	420
Cardmon (T4)	19828	47	235	470
Cardmon (A4)	19840	47	235	470
